env_steps,scenario,seed,success_rate
0,base,42,0.030000
0,base,123,0.020000
0,base,456,0.030000
1000,base,42,0.010000
1000,base,123,0.020000
1000,base,456,0.010000
5000,base,42,0.050000
5000,base,123,0.040000
5000,base,456,0.040000
10000,base,42,0.060000
10000,base,123,0.020000
10000,base,456,0.030000
30000,base,42,0.020000
30000,base,123,0.010000
30000,base,456,0.040000
100000,base,42,0.060000
100000,base,123,0.030000
100000,base,456,0.050000
300000,base,42,0.530000
300000,base,123,0.430000
300000,base,456,0.350000
1000000,base,42,1.000000
1000000,base,123,1.000000
1000000,base,456,1.000000
3000000,base,42,1.000000
3000000,base,123,1.000000
3000000,base,456,1.000000
10000000,base,42,1.000000
10000000,base,123,1.000000
10000000,base,456,1.000000
0,moving_evaders,42,0.040000
0,moving_evaders,123,0.050000
0,moving_evaders,456,0.010000
1000,moving_evaders,42,0.040000
1000,moving_evaders,123,0.070000
1000,moving_evaders,456,0.030000
5000,moving_evaders,42,0.080000
5000,moving_evaders,123,0.100000
5000,moving_evaders,456,0.040000
10000,moving_evaders,42,0.030000
10000,moving_evaders,123,0.090000
10000,moving_evaders,456,0.020000
30000,moving_evaders,42,0.040000
30000,moving_evaders,123,0.020000
30000,moving_evaders,456,0.040000
100000,moving_evaders,42,0.190000
100000,moving_evaders,123,0.180000
100000,moving_evaders,456,0.180000
300000,moving_evaders,42,0.790000
300000,moving_evaders,123,0.680000
300000,moving_evaders,456,0.720000
1000000,moving_evaders,42,1.000000
1000000,moving_evaders,123,1.000000
1000000,moving_evaders,456,1.000000
3000000,moving_evaders,42,1.000000
3000000,moving_evaders,123,1.000000
3000000,moving_evaders,456,1.000000
10000000,moving_evaders,42,1.000000
10000000,moving_evaders,123,1.000000
10000000,moving_evaders,456,1.000000
0,larger_grid,42,0.000000
0,larger_grid,123,0.000000
0,larger_grid,456,0.000000
1000,larger_grid,42,0.000000
1000,larger_grid,123,0.000000
1000,larger_grid,456,0.010000
5000,larger_grid,42,0.000000
5000,larger_grid,123,0.000000
5000,larger_grid,456,0.010000
10000,larger_grid,42,0.000000
10000,larger_grid,123,0.000000
10000,larger_grid,456,0.000000
30000,larger_grid,42,0.020000
30000,larger_grid,123,0.010000
30000,larger_grid,456,0.000000
100000,larger_grid,42,0.000000
100000,larger_grid,123,0.000000
100000,larger_grid,456,0.000000
300000,larger_grid,42,0.140000
300000,larger_grid,123,0.100000
300000,larger_grid,456,0.130000
1000000,larger_grid,42,0.790000
1000000,larger_grid,123,0.850000
1000000,larger_grid,456,0.800000
3000000,larger_grid,42,0.670000
3000000,larger_grid,123,0.720000
3000000,larger_grid,456,0.560000
10000000,larger_grid,42,0.440000
10000000,larger_grid,123,0.430000
10000000,larger_grid,456,0.410000
0,additional_evaders,42,0.000000
0,additional_evaders,123,0.000000
0,additional_evaders,456,0.010000
1000,additional_evaders,42,0.000000
1000,additional_evaders,123,0.000000
1000,additional_evaders,456,0.000000
5000,additional_evaders,42,0.000000
5000,additional_evaders,123,0.000000
5000,additional_evaders,456,0.000000
10000,additional_evaders,42,0.000000
10000,additional_evaders,123,0.000000
10000,additional_evaders,456,0.000000
30000,additional_evaders,42,0.020000
30000,additional_evaders,123,0.000000
30000,additional_evaders,456,0.000000
100000,additional_evaders,42,0.010000
100000,additional_evaders,123,0.010000
100000,additional_evaders,456,0.000000
300000,additional_evaders,42,0.150000
300000,additional_evaders,123,0.190000
300000,additional_evaders,456,0.160000
1000000,additional_evaders,42,0.870000
1000000,additional_evaders,123,0.910000
1000000,additional_evaders,456,0.880000
3000000,additional_evaders,42,0.840000
3000000,additional_evaders,123,0.940000
3000000,additional_evaders,456,0.890000
10000000,additional_evaders,42,0.770000
10000000,additional_evaders,123,0.860000
10000000,additional_evaders,456,0.860000
0,additional_pursuers,42,0.060000
0,additional_pursuers,123,0.080000
0,additional_pursuers,456,0.050000
1000,additional_pursuers,42,0.070000
1000,additional_pursuers,123,0.060000
1000,additional_pursuers,456,0.060000
5000,additional_pursuers,42,0.060000
5000,additional_pursuers,123,0.080000
5000,additional_pursuers,456,0.050000
10000,additional_pursuers,42,0.150000
10000,additional_pursuers,123,0.090000
10000,additional_pursuers,456,0.080000
30000,additional_pursuers,42,0.060000
30000,additional_pursuers,123,0.100000
30000,additional_pursuers,456,0.060000
100000,additional_pursuers,42,0.130000
100000,additional_pursuers,123,0.160000
100000,additional_pursuers,456,0.130000
300000,additional_pursuers,42,0.580000
300000,additional_pursuers,123,0.640000
300000,additional_pursuers,456,0.530000
1000000,additional_pursuers,42,1.000000
1000000,additional_pursuers,123,1.000000
1000000,additional_pursuers,456,1.000000
3000000,additional_pursuers,42,1.000000
3000000,additional_pursuers,123,1.000000
3000000,additional_pursuers,456,1.000000
10000000,additional_pursuers,42,1.000000
10000000,additional_pursuers,123,1.000000
10000000,additional_pursuers,456,0.990000
0,color_shift,42,0.030000
0,color_shift,123,0.030000
0,color_shift,456,0.060000
1000,color_shift,42,0.030000
1000,color_shift,123,0.030000
1000,color_shift,456,0.010000
5000,color_shift,42,0.070000
5000,color_shift,123,0.050000
5000,color_shift,456,0.010000
10000,color_shift,42,0.050000
10000,color_shift,123,0.040000
10000,color_shift,456,0.010000
30000,color_shift,42,0.050000
30000,color_shift,123,0.050000
30000,color_shift,456,0.030000
100000,color_shift,42,0.070000
100000,color_shift,123,0.100000
100000,color_shift,456,0.070000
300000,color_shift,42,0.610000
300000,color_shift,123,0.560000
300000,color_shift,456,0.480000
1000000,color_shift,42,0.580000
1000000,color_shift,123,0.600000
1000000,color_shift,456,0.510000
3000000,color_shift,42,0.170000
3000000,color_shift,123,0.220000
3000000,color_shift,456,0.160000
10000000,color_shift,42,0.020000
10000000,color_shift,123,0.010000
10000000,color_shift,456,0.010000
0,semantic_color_swap,42,0.030000
0,semantic_color_swap,123,0.020000
0,semantic_color_swap,456,0.060000
1000,semantic_color_swap,42,0.010000
1000,semantic_color_swap,123,0.020000
1000,semantic_color_swap,456,0.010000
5000,semantic_color_swap,42,0.050000
5000,semantic_color_swap,123,0.050000
5000,semantic_color_swap,456,0.020000
10000,semantic_color_swap,42,0.010000
10000,semantic_color_swap,123,0.030000
10000,semantic_color_swap,456,0.020000
30000,semantic_color_swap,42,0.030000
30000,semantic_color_swap,123,0.010000
30000,semantic_color_swap,456,0.030000
100000,semantic_color_swap,42,0.050000
100000,semantic_color_swap,123,0.030000
100000,semantic_color_swap,456,0.060000
300000,semantic_color_swap,42,0.030000
300000,semantic_color_swap,123,0.030000
300000,semantic_color_swap,456,0.030000
1000000,semantic_color_swap,42,0.020000
1000000,semantic_color_swap,123,0.020000
1000000,semantic_color_swap,456,0.020000
3000000,semantic_color_swap,42,0.070000
3000000,semantic_color_swap,123,0.110000
3000000,semantic_color_swap,456,0.030000
10000000,semantic_color_swap,42,0.020000
10000000,semantic_color_swap,123,0.010000
10000000,semantic_color_swap,456,0.010000
0,shape_shift,42,0.030000
0,shape_shift,123,0.020000
0,shape_shift,456,0.030000
1000,shape_shift,42,0.030000
1000,shape_shift,123,0.040000
1000,shape_shift,456,0.010000
5000,shape_shift,42,0.020000
5000,shape_shift,123,0.040000
5000,shape_shift,456,0.010000
10000,shape_shift,42,0.030000
10000,shape_shift,123,0.010000
10000,shape_shift,456,0.030000
30000,shape_shift,42,0.020000
30000,shape_shift,123,0.010000
30000,shape_shift,456,0.010000
100000,shape_shift,42,0.000000
100000,shape_shift,123,0.010000
100000,shape_shift,456,0.000000
300000,shape_shift,42,0.050000
300000,shape_shift,123,0.070000
300000,shape_shift,456,0.040000
1000000,shape_shift,42,0.050000
1000000,shape_shift,123,0.050000
1000000,shape_shift,456,0.000000
3000000,shape_shift,42,0.160000
3000000,shape_shift,123,0.170000
3000000,shape_shift,456,0.080000
10000000,shape_shift,42,0.080000
10000000,shape_shift,123,0.110000
10000000,shape_shift,456,0.070000
0,non_centered_ego,42,0.020000
0,non_centered_ego,123,0.020000
0,non_centered_ego,456,0.010000
1000,non_centered_ego,42,0.010000
1000,non_centered_ego,123,0.020000
1000,non_centered_ego,456,0.020000
5000,non_centered_ego,42,0.020000
5000,non_centered_ego,123,0.030000
5000,non_centered_ego,456,0.020000
10000,non_centered_ego,42,0.040000
10000,non_centered_ego,123,0.010000
10000,non_centered_ego,456,0.010000
30000,non_centered_ego,42,0.030000
30000,non_centered_ego,123,0.040000
30000,non_centered_ego,456,0.030000
100000,non_centered_ego,42,0.040000
100000,non_centered_ego,123,0.040000
100000,non_centered_ego,456,0.050000
300000,non_centered_ego,42,0.030000
300000,non_centered_ego,123,0.040000
300000,non_centered_ego,456,0.010000
1000000,non_centered_ego,42,0.010000
1000000,non_centered_ego,123,0.000000
1000000,non_centered_ego,456,0.010000
3000000,non_centered_ego,42,0.020000
3000000,non_centered_ego,123,0.030000
3000000,non_centered_ego,456,0.020000
10000000,non_centered_ego,42,0.010000
10000000,non_centered_ego,123,0.020000
10000000,non_centered_ego,456,0.000000
